essayid,chars,words,commas,apostrophes,punctuations,avg_word_length,sentences,questions,avg_word_sentence,POS,POS/total_words,prompt_words,prompt_words/total_words,synonym_words,synonym_words/total_words,unstemmed,stemmed,score
1457,2153,426,14,6,0,5.05399061,16,0,26.625,423.9952719,0.995294065,207,0.485915493,105,0.24647887300000001,424,412,4
503,1480,292,9,7,0,5.068493151,11,0,26.54545455,290.9931034,0.996551724,148,0.506849315,77,0.26369863,356,345,4
253,3964,849,19,26,1,4.669022378999999,49,2,17.32653061,843.9905437000001,0.99409958,285,0.335689046,130,0.153121319,750,750,4
107,988,210,8,7,0,4.704761905,12,0,17.5,207.6537842,0.9888275440000001,112,0.533333333,62,0.295238095,217,209,3
1450,3139,600,13,8,0,5.231666667,24,1,25.0,594.6521496,0.991086916,255,0.425,165,0.275,702,677,4
689,1649,342,10,17,0,4.821637427,14,2,24.42857143,338.9940828,0.991210769,141,0.41228070200000005,90,0.263157895,396,384,2
339,2278,480,11,12,0,4.745833333,22,1,21.81818182,473.3137255,0.986070261,213,0.44375,117,0.24375,528,506,3
1390,1296,271,0,2,0,4.782287823,10,0,27.1,268.3283396,0.9901414740000001,141,0.520295203,77,0.284132841,345,340,3
325,1664,330,5,8,0,5.042424242,15,0,22.0,328.32925589999996,0.994937139,156,0.47272727299999995,91,0.275757576,378,368,3
742,2224,455,1,8,0,4.887912088,22,0,20.68181818,450.32150779999995,0.9897175990000001,224,0.492307692,158,0.34725274700000003,480,464,3
382,1497,300,16,4,0,4.99,12,0,25.0,297.32211,0.9910737,161,0.536666667,70,0.233333333,343,328,4
1515,2748,559,33,19,2,4.915921288,21,1,26.61904762,554.6582582999999,0.99223302,259,0.46332737,132,0.23613595699999998,618,592,4
1710,2222,452,11,8,0,4.915929203999999,15,0,30.13333333,447.99107139999995,0.991130689,207,0.45796460200000005,103,0.22787610600000002,519,506,4
997,2067,408,3,2,0,5.066176471,21,0,19.42857143,400.640264,0.981961431,188,0.460784314,80,0.19607843100000003,460,448,4
832,1535,319,15,2,0,4.8119122260000005,18,0,17.72222222,315.65820110000004,0.989524141,175,0.548589342,92,0.288401254,350,338,3
1613,3297,687,20,2,1,4.799126638,21,0,32.71428571,683.3284529,0.9946556809999999,368,0.5356623,166,0.241630277,482,457,3
482,2929,586,32,39,0,4.998293515,26,1,22.53846154,584.3276256,0.997146119,252,0.43003413,125,0.21331058,659,635,4
209,1572,310,3,7,0,5.070967742,15,1,20.66666667,307.987013,0.993506494,125,0.403225806,75,0.24193548399999998,410,396,3
